FirstDayOfMonth,Year,Pool,Month,Oil(BBLS),Gas(MCF),Water(BBLS),Days P/I
2020-05-01,2020,[71629] BASIN FRUITLAND COAL (GAS),May,0,3887,744,31
2020-06-01,2020,[71629] BASIN FRUITLAND COAL (GAS),Jun,0,3651,25,30
2020-07-01,2020,[71629] BASIN FRUITLAND COAL (GAS),Jul,0,4006,130,31
2020-08-01,2020,[71629] BASIN FRUITLAND COAL (GAS),Aug,0,3685,358,31
2020-09-01,2020,[71629] BASIN FRUITLAND COAL (GAS),Sep,0,3787,2050,30
2020-10-01,2020,[71629] BASIN FRUITLAND COAL (GAS),Oct,0,3677,121,31
2020-11-01,2020,[71629] BASIN FRUITLAND COAL (GAS),Nov,0,3581,2938,30
2020-12-01,2020,[71629] BASIN FRUITLAND COAL (GAS),Dec,0,3746,87,31
2021-01-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Jan,0,3529,0,31
2021-02-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Feb,0,3340,0,28
2021-03-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Mar,0,3192,0,31
2021-04-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Apr,0,3613,0,30
2021-05-01,2021,[71629] BASIN FRUITLAND COAL (GAS),May,0,3580,80,31
2021-06-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Jun,0,3236,80,30
2021-07-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Jul,0,2712,0,31
2021-08-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Aug,0,2591,0,31
2021-09-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Sep,0,2258,0,30
2021-10-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Oct,0,2209,0,31
2021-11-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Nov,0,2810,0,30
2021-12-01,2021,[71629] BASIN FRUITLAND COAL (GAS),Dec,0,2782,80,31
2022-01-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Jan,0,4031,130,31
2022-02-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Feb,0,3232,21,28
2022-03-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Mar,0,3294,54,31
2022-04-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Apr,0,2584,0,30
2022-05-01,2022,[71629] BASIN FRUITLAND COAL (GAS),May,0,135,0,31
2022-06-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Jun,0,1884,0,30
2022-07-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Jul,0,4060,0,31
2022-08-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Aug,0,3086,85,31
2022-09-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Sep,0,3386,130,30
2022-10-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Oct,0,3371,27,31
2022-11-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Nov,0,3170,80,30
2022-12-01,2022,[71629] BASIN FRUITLAND COAL (GAS),Dec,0,3920,160,31
2023-01-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Jan,0,3132,0,31
2023-02-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Feb,0,2407,0,28
2023-03-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Mar,0,2313,0,31
2023-04-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Apr,0,3219,261,30
2023-05-01,2023,[71629] BASIN FRUITLAND COAL (GAS),May,0,3955,0,31
2023-06-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Jun,0,3498,0,30
2023-07-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Jul,0,3760,124,31
2023-08-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Aug,0,3727,57,31
2023-09-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Sep,0,2728,0,30
2023-10-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Oct,0,3147,267,31
2023-11-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Nov,0,2049,0,30
2023-12-01,2023,[71629] BASIN FRUITLAND COAL (GAS),Dec,0,3616,0,31
2024-01-01,2024,[71629] BASIN FRUITLAND COAL (GAS),Jan,0,2889,0,31
2024-02-01,2024,[71629] BASIN FRUITLAND COAL (GAS),Feb,0,2370,0,29
2024-03-01,2024,[71629] BASIN FRUITLAND COAL (GAS),Mar,0,2889,0,31
2024-04-01,2024,[71629] BASIN FRUITLAND COAL (GAS),Apr,0,2875,68,30
2024-05-01,2024,[71629] BASIN FRUITLAND COAL (GAS),May,0,2930,58,31
2024-06-01,2024,[71629] BASIN FRUITLAND COAL (GAS),Jun,0,2649,0,30
2024-07-01,2024,[71629] BASIN FRUITLAND COAL (GAS),Jul,0,2571,0,31
2024-08-01,2024,[71629] BASIN FRUITLAND COAL (GAS),Aug,0,2584,73,31
2024-09-01,2024,[71629] BASIN FRUITLAND COAL (GAS),Sep,0,3440,147,30
2024-10-01,2024,[71629] BASIN FRUITLAND COAL (GAS),Oct,0,3516,120,31
